epoch,train_error,test_error,epoch_time,convergence_time
0,0.191889,0.870000,12324,504101
1,0.180496,0.870000,12272,504101
2,0.181121,0.870000,12301,504101
3,0.181679,0.870000,12363,504101
4,0.182126,0.870000,12362,504101
5,0.182322,0.870000,12269,504101
6,0.181971,0.870000,12301,504101
7,0.180650,0.870000,12360,504101
8,0.178162,0.870000,12297,504101
9,0.174722,0.760000,12326,504101
10,0.170619,0.730000,12300,504101
11,0.166079,0.720000,12287,504101
12,0.161444,0.720000,12293,504101
13,0.157150,0.690000,12283,504101
14,0.153466,0.680000,12272,504101
15,0.150406,0.640000,12264,504101
16,0.147831,0.610000,12296,504101
17,0.145585,0.590000,12287,504101
18,0.143544,0.580000,12246,504101
19,0.141627,0.580000,12309,504101
20,0.139778,0.590000,12256,504101
21,0.137962,0.580000,12272,504101
22,0.136156,0.510000,12346,504101
23,0.134344,0.500000,12261,504101
24,0.132517,0.490000,12271,504101
25,0.130668,0.470000,12323,504101
26,0.128791,0.450000,12306,504101
27,0.126885,0.450000,12300,504101
28,0.124948,0.450000,12289,504101
29,0.122979,0.450000,12239,504101
30,0.120977,0.450000,12346,504101
31,0.118943,0.450000,12256,504101
32,0.116878,0.460000,12297,504101
33,0.114783,0.460000,12295,504101
34,0.112662,0.460000,12360,504101
35,0.110520,0.440000,12289,504101
36,0.108365,0.440000,12344,504101
37,0.106204,0.440000,12257,504101
38,0.104046,0.440000,12252,504101
39,0.101900,0.430000,12226,504101
40,0.099773,0.430000,12295,504101
41,0.097670,0.440000,12258,504101
42,0.095595,0.440000,12285,504101
43,0.093548,0.440000,12264,504101
44,0.091530,0.440000,12236,504101
45,0.089539,0.440000,12210,504101
46,0.087573,0.420000,12252,504101
47,0.085628,0.410000,12264,504101
48,0.083704,0.410000,12250,504101
49,0.081796,0.400000,12238,504101
