epoch,train_error,test_error,epoch_time,convergence_time
0,0.234772,0.870000,12324,0
1,0.183270,0.870000,12320,0
2,0.180669,0.870000,12332,0
3,0.180309,0.870000,12357,0
4,0.180220,0.870000,12285,0
5,0.180185,0.870000,12305,0
6,0.180164,0.870000,12331,0
7,0.180148,0.870000,12292,0
8,0.180134,0.870000,12340,0
9,0.180120,0.870000,12271,0
10,0.180106,0.870000,12327,0
11,0.180092,0.870000,12298,0
12,0.180078,0.870000,12269,0
13,0.180063,0.870000,12240,0
14,0.180048,0.870000,12314,0
15,0.180032,0.870000,12299,0
16,0.180014,0.870000,12303,0
17,0.179996,0.870000,12405,0
18,0.179976,0.870000,12268,0
19,0.179954,0.870000,12296,0
20,0.179929,0.870000,12314,0
21,0.179902,0.870000,12313,0
22,0.179870,0.870000,12246,0
23,0.179835,0.870000,12318,0
24,0.179794,0.870000,12278,0
25,0.179747,0.870000,12256,0
26,0.179692,0.870000,12249,0
27,0.179627,0.860000,12273,0
28,0.179551,0.840000,12322,0
29,0.179462,0.840000,12367,0
30,0.179356,0.830000,12306,0
31,0.179231,0.830000,12296,0
32,0.179083,0.810000,12290,0
33,0.178908,0.800000,12311,0
34,0.178701,0.800000,12284,0
35,0.178457,0.810000,12281,0
36,0.178170,0.810000,12355,0
37,0.177835,0.810000,12291,0
38,0.177444,0.800000,12234,0
39,0.176991,0.770000,12232,0
40,0.176470,0.750000,12330,0
41,0.175875,0.750000,12281,0
42,0.175202,0.740000,12240,0
43,0.174446,0.740000,12265,0
44,0.173606,0.710000,12285,0
45,0.172682,0.690000,12495,0
46,0.171677,0.690000,12390,0
47,0.170596,0.690000,12288,0
48,0.169445,0.650000,12267,0
49,0.168235,0.640000,12295,0
