epoch,train_error,test_error,epoch_time,convergence_time
0,0.194747,0.870000,14871,0
1,0.181293,0.870000,13181,0
2,0.181884,0.870000,12641,0
3,0.182377,0.870000,13016,0
4,0.182768,0.870000,12468,0
5,0.183034,0.870000,12388,0
6,0.183174,0.870000,12418,0
7,0.183212,0.870000,12421,0
8,0.183187,0.870000,12391,0
9,0.183132,0.870000,12410,0
10,0.183068,0.870000,12446,0
11,0.183010,0.870000,12382,0
12,0.182963,0.840000,12369,0
13,0.182931,0.840000,12352,0
14,0.182914,0.840000,12330,0
15,0.182912,0.840000,12386,0
16,0.182920,0.840000,12432,0
17,0.182936,0.840000,12423,0
18,0.182951,0.840000,12380,0
19,0.182953,0.840000,12387,0
20,0.182922,0.840000,12394,0
21,0.182828,0.840000,12417,0
22,0.182628,0.840000,12357,0
23,0.182272,0.840000,12327,0
24,0.181713,0.840000,12360,0
25,0.180916,0.840000,12353,0
26,0.179840,0.800000,12366,0
27,0.178380,0.780000,12389,0
28,0.176328,0.780000,12325,0
29,0.173545,0.780000,12342,0
30,0.170384,0.780000,12347,0
31,0.167582,0.760000,12401,0
32,0.165459,0.760000,12382,0
33,0.163865,0.750000,12424,0
34,0.162598,0.750000,12421,0
35,0.161534,0.740000,12372,0
36,0.160607,0.740000,12674,0
37,0.159787,0.740000,12376,0
38,0.159057,0.730000,12369,0
39,0.158406,0.730000,12371,0
40,0.157817,0.730000,12362,0
41,0.157271,0.720000,12337,0
42,0.156750,0.710000,12311,0
43,0.156246,0.700000,12353,0
44,0.155751,0.710000,12333,0
45,0.155246,0.710000,12654,0
46,0.154698,0.720000,12345,0
47,0.154065,0.710000,12342,0
48,0.153275,0.700000,12304,0
49,0.152203,0.680000,12405,0
