epoch,train_error,test_error,epoch_time,convergence_time
0,0.187529,0.870000,12277,306699
1,0.182943,0.870000,12261,306699
2,0.184671,0.870000,12266,306699
3,0.184409,0.870000,12277,306699
4,0.181236,0.870000,12378,306699
5,0.176058,0.780000,12238,306699
6,0.170159,0.710000,12265,306699
7,0.163622,0.730000,12251,306699
8,0.157226,0.730000,12266,306699
9,0.151873,0.680000,12236,306699
10,0.147602,0.670000,12272,306699
11,0.143987,0.640000,12239,306699
12,0.140671,0.640000,12282,306699
13,0.137456,0.600000,12255,306699
14,0.134248,0.570000,12268,306699
15,0.131008,0.530000,12281,306699
16,0.127719,0.500000,12300,306699
17,0.124379,0.490000,12225,306699
18,0.120987,0.490000,12231,306699
19,0.117542,0.490000,12306,306699
20,0.114047,0.480000,12280,306699
21,0.110510,0.470000,12274,306699
22,0.106950,0.460000,12242,306699
23,0.103396,0.470000,12240,306699
24,0.099881,0.460000,12279,306699
25,0.096429,0.460000,12315,306699
26,0.093057,0.430000,12252,306699
27,0.089769,0.410000,12281,306699
28,0.086563,0.400000,12190,306699
29,0.083428,0.390000,12251,306699
30,0.080352,0.350000,12246,306699
31,0.077318,0.350000,12237,306699
32,0.074313,0.350000,12248,306699
33,0.071325,0.350000,12270,306699
34,0.068348,0.340000,12252,306699
35,0.065384,0.330000,12294,306699
36,0.062439,0.330000,12253,306699
37,0.059525,0.330000,12238,306699
38,0.056656,0.330000,12330,306699
39,0.053844,0.330000,12288,306699
40,0.051103,0.330000,12253,306699
41,0.048445,0.330000,12280,306699
42,0.045878,0.330000,12259,306699
43,0.043410,0.320000,12270,306699
44,0.041046,0.320000,12460,306699
45,0.038789,0.320000,12450,306699
46,0.036640,0.320000,12478,306699
47,0.034601,0.320000,12484,306699
48,0.032669,0.320000,12532,306699
49,0.030844,0.320000,12534,306699
