epoch,train_error,test_error,epoch_time,convergence_time
0,0.187457,0.870000,13143,328462
1,0.182974,0.870000,14160,328462
2,0.184674,0.870000,14259,328462
3,0.184609,0.870000,12984,328462
4,0.182168,0.870000,13290,328462
5,0.177764,0.830000,13073,328462
6,0.171424,0.730000,12984,328462
7,0.163492,0.670000,12914,328462
8,0.156437,0.630000,13020,328462
9,0.151225,0.620000,12996,328462
10,0.147225,0.610000,13016,328462
11,0.143773,0.580000,12999,328462
12,0.140515,0.580000,12933,328462
13,0.137292,0.560000,13075,328462
14,0.134036,0.550000,13028,328462
15,0.130725,0.490000,12908,328462
16,0.127354,0.470000,12847,328462
17,0.123926,0.450000,12980,328462
18,0.120445,0.450000,13087,328462
19,0.116911,0.450000,13105,328462
20,0.113331,0.450000,13084,328462
21,0.109720,0.430000,13125,328462
22,0.106100,0.420000,13125,328462
23,0.102503,0.430000,13117,328462
24,0.098954,0.430000,13200,328462
25,0.095473,0.430000,13268,328462
26,0.092067,0.430000,13092,328462
27,0.088733,0.410000,13170,328462
28,0.085464,0.380000,13071,328462
29,0.082252,0.360000,13108,328462
30,0.079087,0.380000,13460,328462
31,0.075961,0.350000,13233,328462
32,0.072869,0.330000,13243,328462
33,0.069809,0.330000,13207,328462
34,0.066781,0.320000,13231,328462
35,0.063790,0.310000,13086,328462
36,0.060842,0.310000,13110,328462
37,0.057944,0.310000,13131,328462
38,0.055106,0.310000,12999,328462
39,0.052339,0.310000,13083,328462
40,0.049651,0.310000,13210,328462
41,0.047053,0.310000,13211,328462
42,0.044553,0.310000,13285,328462
43,0.042159,0.310000,13070,328462
44,0.039876,0.310000,13194,328462
45,0.037708,0.310000,13119,328462
46,0.035656,0.320000,13069,328462
47,0.033719,0.320000,13079,328462
48,0.031897,0.320000,13109,328462
49,0.030184,0.320000,13248,328462
