epoch,train_error,test_error,epoch_time,convergence_time
0,0.211375,0.870000,12032,314298
1,0.184857,0.870000,13447,314298
2,0.184109,0.870000,12058,314298
3,0.182888,0.810000,12005,314298
4,0.180175,0.810000,11949,314298
5,0.174956,0.810000,11915,314298
6,0.168396,0.750000,12184,314298
7,0.162268,0.740000,12122,314298
8,0.157181,0.730000,12095,314298
9,0.152967,0.710000,12094,314298
10,0.149233,0.680000,12118,314298
11,0.145639,0.650000,12101,314298
12,0.142001,0.580000,12015,314298
13,0.138272,0.570000,12030,314298
14,0.134485,0.530000,12001,314298
15,0.130701,0.500000,12000,314298
16,0.126967,0.490000,11994,314298
17,0.123309,0.490000,11994,314298
18,0.119737,0.480000,11997,314298
19,0.116256,0.470000,12045,314298
20,0.112868,0.470000,11968,314298
21,0.109578,0.450000,12013,314298
22,0.106389,0.430000,11975,314298
23,0.103300,0.410000,12061,314298
24,0.100304,0.390000,11987,314298
25,0.097384,0.380000,12096,314298
26,0.094520,0.380000,349440,314298
27,0.091690,0.370000,14975,314298
28,0.088876,0.370000,14866,314298
29,0.086069,0.360000,17029,314298
30,0.083266,0.330000,17533,314298
31,0.080473,0.330000,18414,314298
32,0.077702,0.340000,14590,314298
33,0.074966,0.340000,14089,314298
34,0.072280,0.330000,14099,314298
35,0.069652,0.330000,12609,314298
36,0.067093,0.330000,12622,314298
37,0.064605,0.330000,12520,314298
38,0.062193,0.330000,12420,314298
39,0.059856,0.340000,12651,314298
40,0.057593,0.330000,12717,314298
41,0.055404,0.340000,12392,314298
42,0.053286,0.340000,12590,314298
43,0.051237,0.340000,14629,314298
44,0.049256,0.350000,12723,314298
45,0.047343,0.350000,12577,314298
46,0.045497,0.350000,13822,314298
47,0.043719,0.350000,13465,314298
48,0.042012,0.350000,13532,314298
49,0.040377,0.350000,12459,314298
