epoch,train_error,test_error,epoch_time,convergence_time
0,0.203301,0.870000,12372,372330
1,0.185442,0.870000,12364,372330
2,0.185596,0.870000,12682,372330
3,0.184847,0.870000,12717,372330
4,0.181939,0.810000,13042,372330
5,0.176244,0.790000,17396,372330
6,0.168909,0.750000,17660,372330
7,0.161842,0.730000,16691,372330
8,0.156191,0.710000,17632,372330
9,0.151810,0.690000,19130,372330
10,0.148105,0.660000,18809,372330
11,0.144629,0.620000,16744,372330
12,0.141164,0.590000,16839,372330
13,0.137641,0.560000,16290,372330
14,0.134067,0.540000,16574,372330
15,0.130470,0.520000,15733,372330
16,0.126871,0.500000,16246,372330
17,0.123273,0.490000,16364,372330
18,0.119674,0.490000,15055,372330
19,0.116066,0.480000,12011,372330
20,0.112447,0.470000,12024,372330
21,0.108825,0.470000,11965,372330
22,0.105214,0.480000,11920,372330
23,0.101639,0.470000,12007,372330
24,0.098127,0.460000,12059,372330
25,0.094704,0.420000,11985,372330
26,0.091391,0.400000,11906,372330
27,0.088201,0.390000,11968,372330
28,0.085137,0.400000,11933,372330
29,0.082199,0.400000,12042,372330
30,0.079383,0.390000,11992,372330
31,0.076681,0.390000,12000,372330
32,0.074087,0.380000,12030,372330
33,0.071595,0.400000,12000,372330
34,0.069198,0.400000,11996,372330
35,0.066889,0.390000,12201,372330
36,0.064660,0.390000,12050,372330
37,0.062506,0.400000,12073,372330
38,0.060419,0.400000,13697,372330
39,0.058394,0.410000,12126,372330
40,0.056429,0.410000,12074,372330
41,0.054522,0.410000,11995,372330
42,0.052671,0.400000,12032,372330
43,0.050876,0.410000,12007,372330
44,0.049140,0.410000,11931,372330
45,0.047463,0.410000,11920,372330
46,0.045845,0.410000,11934,372330
47,0.044285,0.420000,11966,372330
48,0.042783,0.420000,11934,372330
49,0.041337,0.420000,11919,372330
