epoch,train_error,test_error,epoch_time,convergence_time
0,0.213182,0.870000,12451,0
1,0.181784,0.870000,12402,0
2,0.181634,0.870000,12341,0
3,0.181669,0.870000,12432,0
4,0.181704,0.870000,12413,0
5,0.181728,0.870000,12345,0
6,0.181742,0.870000,12327,0
7,0.181747,0.870000,12381,0
8,0.181742,0.870000,12436,0
9,0.181729,0.870000,12385,0
10,0.181709,0.870000,12380,0
11,0.181682,0.910000,12329,0
12,0.181651,0.910000,12378,0
13,0.181615,0.910000,12398,0
14,0.181576,0.910000,12451,0
15,0.181535,0.910000,12399,0
16,0.181493,0.910000,12336,0
17,0.181450,0.910000,12374,0
18,0.181407,0.910000,12443,0
19,0.181364,0.910000,12408,0
20,0.181322,0.910000,12399,0
21,0.181281,0.910000,12417,0
22,0.181241,0.910000,12385,0
23,0.181203,0.910000,12422,0
24,0.181166,0.910000,12461,0
25,0.181131,0.910000,12374,0
26,0.181097,0.910000,12350,0
27,0.181065,0.910000,12354,0
28,0.181035,0.910000,12377,0
29,0.181006,0.910000,12367,0
30,0.180979,0.910000,12446,0
31,0.180954,0.910000,12377,0
32,0.180930,0.910000,12397,0
33,0.180908,0.910000,12413,0
34,0.180888,0.910000,12389,0
35,0.180869,0.910000,12389,0
36,0.180851,0.910000,12401,0
37,0.180835,0.910000,12370,0
38,0.180821,0.910000,12371,0
39,0.180808,0.910000,12356,0
40,0.180796,0.910000,12342,0
41,0.180786,0.910000,12382,0
42,0.180777,0.910000,12405,0
43,0.180770,0.910000,12387,0
44,0.180764,0.910000,12376,0
45,0.180759,0.910000,12439,0
46,0.180756,0.910000,12389,0
47,0.180754,0.910000,12473,0
48,0.180753,0.910000,12419,0
49,0.180754,0.910000,12416,0
