epoch,train_error,test_error,epoch_time,convergence_time
0,0.195151,0.870000,11999,323940
1,0.183795,0.870000,12224,323940
2,0.184191,0.870000,12449,323940
3,0.183829,0.870000,12161,323940
4,0.182237,0.870000,12036,323940
5,0.178174,0.800000,12041,323940
6,0.171020,0.710000,12000,323940
7,0.162920,0.700000,11983,323940
8,0.156355,0.660000,12019,323940
9,0.151474,0.650000,12068,323940
10,0.147530,0.630000,12017,323940
11,0.143979,0.600000,12052,323940
12,0.140535,0.590000,11996,323940
13,0.137063,0.560000,12002,323940
14,0.133514,0.510000,12037,323940
15,0.129888,0.500000,12985,323940
16,0.126217,0.480000,17982,323940
17,0.122543,0.480000,15769,323940
18,0.118908,0.470000,14075,323940
19,0.115342,0.460000,13675,323940
20,0.111860,0.450000,13787,323940
21,0.108465,0.440000,13997,323940
22,0.105153,0.430000,12743,323940
23,0.101915,0.430000,12617,323940
24,0.098740,0.440000,15221,323940
25,0.095614,0.430000,13700,323940
26,0.092525,0.390000,12830,323940
27,0.089462,0.370000,12962,323940
28,0.086419,0.370000,15235,323940
29,0.083390,0.350000,12985,323940
30,0.080373,0.340000,13232,323940
31,0.077373,0.330000,13013,323940
32,0.074393,0.330000,13042,323940
33,0.071442,0.330000,15318,323940
34,0.068529,0.330000,13255,323940
35,0.065663,0.330000,13001,323940
36,0.062856,0.320000,13086,323940
37,0.060117,0.320000,13007,323940
38,0.057453,0.320000,13200,323940
39,0.054871,0.320000,12931,323940
40,0.052377,0.320000,12989,323940
41,0.049973,0.320000,12911,323940
42,0.047663,0.320000,13155,323940
43,0.045447,0.330000,13007,323940
44,0.043327,0.320000,13219,323940
45,0.041302,0.330000,12976,323940
46,0.039372,0.330000,13464,323940
47,0.037537,0.330000,13539,323940
48,0.035794,0.330000,13215,323940
49,0.034142,0.340000,13021,323940
