epoch,train_error,test_error,epoch_time,convergence_time
0,0.153479,0.730000,12844,25745
1,0.098893,0.560000,12901,25745
2,0.071950,0.440000,12940,25745
3,0.056232,0.460000,12871,25745
4,0.044743,0.390000,12878,25745
5,0.037519,0.390000,12847,25745
6,0.031668,0.380000,12777,25745
7,0.027736,0.360000,12747,25745
8,0.023749,0.340000,12825,25745
9,0.020966,0.340000,12813,25745
10,0.018772,0.340000,12871,25745
11,0.016816,0.340000,12909,25745
12,0.015203,0.340000,12767,25745
13,0.013896,0.350000,12754,25745
14,0.012848,0.350000,12818,25745
15,0.011995,0.340000,12808,25745
16,0.011279,0.340000,12827,25745
17,0.010658,0.340000,12807,25745
18,0.010110,0.340000,12825,25745
19,0.009622,0.340000,12961,25745
20,0.009182,0.340000,12821,25745
21,0.008784,0.340000,12922,25745
22,0.008422,0.340000,12862,25745
23,0.008090,0.340000,12915,25745
24,0.007784,0.350000,12858,25745
25,0.007500,0.350000,12876,25745
26,0.007236,0.350000,12839,25745
27,0.006989,0.350000,13006,25745
28,0.006757,0.350000,12908,25745
29,0.006539,0.350000,12855,25745
30,0.006333,0.350000,12900,25745
31,0.006138,0.350000,12705,25745
32,0.005954,0.350000,12855,25745
33,0.005778,0.350000,12860,25745
34,0.005612,0.350000,12882,25745
35,0.005454,0.350000,12816,25745
36,0.005303,0.350000,12858,25745
37,0.005159,0.350000,12844,25745
38,0.005021,0.350000,12777,25745
39,0.004890,0.350000,12783,25745
40,0.004765,0.350000,12710,25745
41,0.004645,0.350000,12846,25745
42,0.004531,0.350000,12827,25745
43,0.004421,0.350000,12942,25745
44,0.004317,0.350000,12790,25745
45,0.004217,0.350000,12828,25745
46,0.004121,0.350000,12847,25745
47,0.004029,0.350000,12749,25745
48,0.003941,0.350000,12817,25745
49,0.003856,0.350000,12868,25745
