epoch,train_error,test_error,epoch_time,convergence_time
0,0.193240,0.980000,5516,139763
1,0.183212,0.980000,5718,139763
2,0.183040,0.850000,5663,139763
3,0.183061,0.850000,5476,139763
4,0.183137,0.850000,5759,139763
5,0.183108,0.850000,5617,139763
6,0.182709,0.810000,5319,139763
7,0.181517,0.780000,5227,139763
8,0.179103,0.650000,5372,139763
9,0.175488,0.670000,5163,139763
10,0.171292,0.670000,5407,139763
11,0.167173,0.650000,5168,139763
12,0.163398,0.620000,5256,139763
13,0.159902,0.570000,5572,139763
14,0.156460,0.520000,5673,139763
15,0.152753,0.490000,5913,139763
16,0.148387,0.470000,5909,139763
17,0.142985,0.470000,5537,139763
18,0.136431,0.410000,5595,139763
19,0.129071,0.410000,6040,139763
20,0.121514,0.390000,5825,139763
21,0.114253,0.400000,5648,139763
22,0.107500,0.390000,5655,139763
23,0.101262,0.390000,5996,139763
24,0.095474,0.380000,5725,139763
25,0.090083,0.370000,6027,139763
26,0.085059,0.360000,6403,139763
27,0.080384,0.360000,6798,139763
28,0.076036,0.330000,6209,139763
29,0.071979,0.320000,5324,139763
30,0.068173,0.310000,5384,139763
31,0.064576,0.310000,5377,139763
32,0.061152,0.300000,5277,139763
33,0.057872,0.300000,5280,139763
34,0.054713,0.300000,5252,139763
35,0.051659,0.290000,5358,139763
36,0.048700,0.290000,5543,139763
37,0.045831,0.300000,5543,139763
38,0.043050,0.300000,6377,139763
39,0.040356,0.300000,6180,139763
40,0.037753,0.300000,5447,139763
41,0.035248,0.300000,5788,139763
42,0.032849,0.310000,6350,139763
43,0.030572,0.310000,5469,139763
44,0.028432,0.310000,7809,139763
45,0.026441,0.310000,6542,139763
46,0.024606,0.310000,7151,139763
47,0.022928,0.310000,5695,139763
48,0.021399,0.310000,6200,139763
49,0.020009,0.310000,6171,139763
