epoch,train_error,test_error,epoch_time,convergence_time
0,0.198349,0.980000,5000,224927
1,0.182195,0.850000,5479,224927
2,0.182106,0.850000,4993,224927
3,0.182039,0.850000,5094,224927
4,0.181984,0.850000,5327,224927
5,0.181939,0.850000,5331,224927
6,0.181899,0.850000,6166,224927
7,0.181858,0.850000,6522,224927
8,0.181805,0.850000,5909,224927
9,0.181725,0.850000,6027,224927
10,0.181590,0.840000,5703,224927
11,0.181358,0.730000,5530,224927
12,0.180960,0.650000,6007,224927
13,0.180298,0.650000,5440,224927
14,0.179244,0.700000,5366,224927
15,0.177673,0.730000,5231,224927
16,0.175530,0.720000,5672,224927
17,0.172901,0.710000,5981,224927
18,0.170001,0.670000,5865,224927
19,0.167065,0.620000,7075,224927
20,0.164244,0.600000,5578,224927
21,0.161592,0.600000,5835,224927
22,0.159088,0.590000,7416,224927
23,0.156668,0.560000,6315,224927
24,0.154240,0.540000,6179,224927
25,0.151699,0.520000,5578,224927
26,0.148930,0.470000,4836,224927
27,0.145829,0.450000,5079,224927
28,0.142339,0.460000,4836,224927
29,0.138480,0.420000,4976,224927
30,0.134349,0.420000,5109,224927
31,0.130072,0.410000,4684,224927
32,0.125763,0.410000,4681,224927
33,0.121504,0.420000,4978,224927
34,0.117356,0.410000,5855,224927
35,0.113353,0.410000,5739,224927
36,0.109512,0.400000,6094,224927
37,0.105835,0.390000,5905,224927
38,0.102314,0.390000,5747,224927
39,0.098938,0.380000,5776,224927
40,0.095696,0.390000,5556,224927
41,0.092584,0.390000,5951,224927
42,0.089596,0.390000,6091,224927
43,0.086731,0.390000,6104,224927
44,0.083985,0.380000,6272,224927
45,0.081357,0.380000,5569,224927
46,0.078840,0.380000,5771,224927
47,0.076427,0.360000,5858,224927
48,0.074109,0.350000,5615,224927
49,0.071879,0.350000,5562,224927
