epoch,train_error,test_error,epoch_time,convergence_time
0,0.199835,0.850000,5079,124130
1,0.182888,0.850000,5488,124130
2,0.182860,0.850000,5281,124130
3,0.182876,0.850000,5461,124130
4,0.182885,0.850000,5386,124130
5,0.182834,0.810000,5313,124130
6,0.182631,0.800000,5248,124130
7,0.182084,0.750000,5166,124130
8,0.180852,0.720000,5187,124130
9,0.178503,0.730000,5343,124130
10,0.174843,0.720000,5126,124130
11,0.170229,0.640000,5472,124130
12,0.165227,0.620000,5272,124130
13,0.160049,0.530000,5591,124130
14,0.154451,0.500000,5538,124130
15,0.148005,0.460000,5548,124130
16,0.140599,0.430000,6240,124130
17,0.132667,0.400000,5327,124130
18,0.124761,0.400000,5290,124130
19,0.117235,0.410000,5514,124130
20,0.110243,0.370000,5256,124130
21,0.103793,0.380000,5526,124130
22,0.097828,0.380000,5470,124130
23,0.092290,0.370000,5467,124130
24,0.087139,0.370000,5532,124130
25,0.082345,0.360000,5555,124130
26,0.077872,0.340000,5519,124130
27,0.073677,0.310000,5279,124130
28,0.069718,0.300000,5391,124130
29,0.065952,0.300000,5251,124130
30,0.062347,0.300000,5311,124130
31,0.058878,0.310000,5263,124130
32,0.055532,0.300000,5318,124130
33,0.052302,0.300000,5277,124130
34,0.049189,0.300000,6218,124130
35,0.046195,0.290000,5385,124130
36,0.043326,0.280000,5226,124130
37,0.040585,0.280000,5131,124130
38,0.037978,0.290000,7293,124130
39,0.035509,0.280000,5496,124130
40,0.033181,0.280000,5254,124130
41,0.030998,0.280000,5290,124130
42,0.028963,0.280000,5221,124130
43,0.027075,0.280000,5609,124130
44,0.025332,0.280000,5765,124130
45,0.023729,0.280000,5604,124130
46,0.022257,0.280000,5368,124130
47,0.020908,0.280000,5814,124130
48,0.019670,0.280000,5450,124130
49,0.018534,0.280000,5258,124130
