epoch,train_error,test_error,epoch_time,convergence_time
0,0.219248,0.920000,5507,120144
1,0.183530,0.920000,5268,120144
2,0.183209,0.920000,5432,120144
3,0.183055,0.920000,5543,120144
4,0.182876,0.780000,5586,120144
5,0.182596,0.780000,5554,120144
6,0.182049,0.780000,5319,120144
7,0.180929,0.780000,5435,120144
8,0.178886,0.770000,5250,120144
9,0.175788,0.760000,5508,120144
10,0.171747,0.680000,5296,120144
11,0.166872,0.630000,5678,120144
12,0.161114,0.580000,5473,120144
13,0.154280,0.510000,5112,120144
14,0.146388,0.460000,5005,120144
15,0.137982,0.430000,5219,120144
16,0.129776,0.420000,5215,120144
17,0.122187,0.420000,5578,120144
18,0.115305,0.420000,6667,120144
19,0.109044,0.400000,5378,120144
20,0.103280,0.390000,5726,120144
21,0.097919,0.390000,5392,120144
22,0.092901,0.380000,5585,120144
23,0.088191,0.360000,5420,120144
24,0.083759,0.340000,5476,120144
25,0.079571,0.330000,5259,120144
26,0.075592,0.320000,5127,120144
27,0.071789,0.310000,5148,120144
28,0.068135,0.280000,5124,120144
29,0.064609,0.270000,5012,120144
30,0.061201,0.280000,5660,120144
31,0.057908,0.280000,5458,120144
32,0.054733,0.280000,5685,120144
33,0.051682,0.280000,5223,120144
34,0.048761,0.280000,4342,120144
35,0.045974,0.280000,4048,120144
36,0.043324,0.290000,3887,120144
37,0.040812,0.290000,3833,120144
38,0.038439,0.290000,4156,120144
39,0.036204,0.280000,3884,120144
40,0.034107,0.280000,4250,120144
41,0.032148,0.280000,4428,120144
42,0.030327,0.280000,4157,120144
43,0.028639,0.290000,4107,120144
44,0.027080,0.290000,4197,120144
45,0.025642,0.280000,4312,120144
46,0.024317,0.280000,5811,120144
47,0.023096,0.270000,7521,120144
48,0.021970,0.270000,5567,120144
49,0.020929,0.280000,5094,120144
