epoch,train_error,test_error,epoch_time,convergence_time
0,0.209207,0.850000,5290,118931
1,0.183142,0.920000,5762,118931
2,0.182997,0.920000,5342,118931
3,0.182962,0.920000,5710,118931
4,0.182922,0.910000,6102,118931
5,0.182825,0.780000,5187,118931
6,0.182578,0.780000,5225,118931
7,0.181984,0.780000,5529,118931
8,0.180697,0.780000,5612,118931
9,0.178336,0.780000,6788,118931
10,0.174785,0.770000,5810,118931
11,0.170324,0.740000,5323,118931
12,0.165355,0.660000,4923,118931
13,0.160025,0.560000,4740,118931
14,0.154154,0.480000,4420,118931
15,0.147472,0.450000,4151,118931
16,0.139977,0.450000,4517,118931
17,0.132048,0.440000,5193,118931
18,0.124170,0.420000,4546,118931
19,0.116689,0.420000,4319,118931
20,0.109768,0.400000,5713,118931
21,0.103447,0.390000,4474,118931
22,0.097700,0.390000,4248,118931
23,0.092479,0.380000,4696,118931
24,0.087716,0.370000,5349,118931
25,0.083343,0.350000,5848,118931
26,0.079293,0.340000,5154,118931
27,0.075503,0.330000,5126,118931
28,0.071921,0.310000,5432,118931
29,0.068503,0.290000,5242,118931
30,0.065212,0.290000,5123,118931
31,0.062021,0.280000,4983,118931
32,0.058908,0.290000,4957,118931
33,0.055864,0.300000,5581,118931
34,0.052881,0.290000,5319,118931
35,0.049962,0.300000,5806,118931
36,0.047112,0.290000,4515,118931
37,0.044342,0.290000,4222,118931
38,0.041667,0.290000,4223,118931
39,0.039103,0.290000,4408,118931
40,0.036668,0.290000,4242,118931
41,0.034374,0.290000,4159,118931
42,0.032231,0.290000,4344,118931
43,0.030243,0.290000,4178,118931
44,0.028408,0.280000,4466,118931
45,0.026720,0.280000,4967,118931
46,0.025169,0.280000,5141,118931
47,0.023744,0.270000,5722,118931
48,0.022433,0.270000,5514,118931
49,0.021227,0.270000,5089,118931
