epoch,train_error,test_error,epoch_time,convergence_time
0,0.241342,0.920000,4864,155481
1,0.184411,0.920000,5061,155481
2,0.183574,0.920000,5699,155481
3,0.183305,0.920000,5373,155481
4,0.182988,0.920000,4883,155481
5,0.182509,0.790000,6743,155481
6,0.181662,0.780000,7130,155481
7,0.180124,0.770000,7434,155481
8,0.177596,0.760000,7845,155481
9,0.174011,0.700000,7425,155481
10,0.169476,0.650000,7639,155481
11,0.164018,0.590000,7869,155481
12,0.157530,0.540000,7458,155481
13,0.150054,0.490000,7442,155481
14,0.142105,0.450000,7348,155481
15,0.134381,0.430000,7272,155481
16,0.127293,0.420000,7128,155481
17,0.120922,0.420000,7050,155481
18,0.115184,0.400000,7591,155481
19,0.109955,0.400000,7938,155481
20,0.105133,0.390000,7314,155481
21,0.100641,0.370000,5524,155481
22,0.096428,0.360000,5448,155481
23,0.092458,0.330000,5821,155481
24,0.088703,0.320000,5748,155481
25,0.085136,0.310000,5750,155481
26,0.081734,0.310000,8429,155481
27,0.078478,0.310000,6906,155481
28,0.075352,0.320000,4902,155481
29,0.072345,0.310000,6772,155481
30,0.069451,0.300000,4992,155481
31,0.066667,0.300000,4527,155481
32,0.063993,0.310000,4474,155481
33,0.061428,0.310000,4390,155481
34,0.058974,0.320000,4808,155481
35,0.056630,0.320000,5218,155481
36,0.054395,0.310000,5630,155481
37,0.052268,0.310000,5523,155481
38,0.050247,0.320000,5539,155481
39,0.048329,0.320000,6404,155481
40,0.046509,0.320000,5634,155481
41,0.044783,0.310000,5746,155481
42,0.043145,0.310000,6172,155481
43,0.041591,0.310000,6014,155481
44,0.040116,0.310000,5859,155481
45,0.038715,0.300000,5447,155481
46,0.037385,0.300000,5800,155481
47,0.036121,0.300000,5431,155481
48,0.034923,0.300000,5139,155481
49,0.033786,0.290000,5228,155481
